league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Primera Division,SD Eibar,2015,14,11,10,17,49,61,-12,1.13,1,1,10,15,9,14,56,51,5,1.42,1,9,14,9,15,44,50,-6,1.34,1
Primera Division,Sevilla FC,2015,7,14,10,14,51,50,1,1.37,1,0,4,21,9,8,69,49,20,1.89,1,7,17,7,14,49,58,-9,1.53,0
Primera Division,UD Las Palmas,2015,11,12,8,18,45,53,-8,1.16,1,1,14,10,9,19,53,74,-21,1.03,2,19,5,7,26,24,74,-50,0.58,2
Primera Division,Valencia CF,2015,12,11,11,16,46,48,-2,1.16,1,1,12,13,7,18,56,65,-9,1.21,0,4,22,7,9,65,38,27,1.92,0
Primera Division,Deportivo de La Coruña,2015,15,8,18,12,45,61,-16,1.11,2,2,16,8,12,18,43,61,-18,0.95,2,18,6,11,21,38,76,-38,0.76,2
Primera Division,Getafe CF,2015,19,9,9,20,37,67,-30,0.95,2,2,19,9,9,20,37,67,-30,0.95,1,8,15,10,13,42,33,9,1.45,0
Primera Division,Granada CF,2015,16,10,9,19,46,69,-23,1.03,2,2,20,4,8,26,30,82,-52,0.53,2,20,4,8,26,30,82,-52,0.53,2
Primera Division,Levante UD,2015,20,8,8,22,37,70,-33,0.84,2,2,20,8,8,22,37,70,-33,0.84,2,15,11,13,14,44,58,-14,1.21,2
Primera Division,Rayo Vallecano,2015,18,9,11,18,52,73,-21,1.0,2,2,18,9,11,18,52,73,-21,1.0,2,18,9,11,18,52,73,-21,1.0,2
Primera Division,FC Barcelona,2016,2,28,6,4,116,37,79,2.37,0,0,1,28,9,1,99,29,70,2.45,0,1,26,9,3,90,36,54,2.29,0
Primera Division,Real Madrid,2016,1,29,6,3,106,41,65,2.45,0,0,3,22,10,6,94,44,50,2.0,0,3,21,5,12,63,46,17,1.79,0
Primera Division,Real Sociedad,2016,6,19,7,12,59,53,6,1.68,0,1,12,14,7,17,66,59,7,1.29,1,9,13,11,14,45,46,-1,1.32,0
Primera Division,Sevilla FC,2016,4,21,9,8,69,49,20,1.89,0,1,7,17,7,14,49,58,-9,1.53,0,6,17,8,13,62,47,15,1.55,0
Primera Division,Villarreal CF,2016,5,19,10,9,56,33,23,1.76,0,0,5,18,7,13,57,50,7,1.61,1,14,10,14,14,49,52,-3,1.16,0
Primera Division,Deportivo Alavés,2016,9,14,13,11,41,43,-2,1.45,1,1,14,15,2,21,40,50,-10,1.24,1,11,13,11,14,39,50,-11,1.32,1
Primera Division,Málaga CF,2016,11,12,10,16,49,55,-6,1.21,1,2,20,5,5,28,24,61,-37,0.53,2,20,5,5,28,24,61,-37,0.53,2
Primera Division,RCD Espanyol Barcelona,2016,8,15,11,12,49,50,-1,1.47,1,1,11,12,13,13,36,42,-6,1.29,1,7,14,11,13,48,50,-2,1.39,1
Primera Division,SD Eibar,2016,10,15,9,14,56,51,5,1.42,1,1,9,14,9,15,44,50,-6,1.34,1,12,11,14,13,46,50,-4,1.24,1
Primera Division,UD Las Palmas,2016,14,10,9,19,53,74,-21,1.03,1,2,19,5,7,26,24,74,-50,0.58,2,19,5,7,26,24,74,-50,0.58,2
Primera Division,Valencia CF,2016,12,13,7,18,56,65,-9,1.21,1,0,4,22,7,9,65,38,27,1.92,0,4,15,16,7,51,35,16,1.61,1
Primera Division,CA Osasuna,2016,19,4,10,24,40,94,-54,0.58,2,2,19,4,10,24,40,94,-54,0.58,2,19,4,10,24,40,94,-54,0.58,1
Primera Division,CD Leganés,2016,17,8,11,19,36,55,-19,0.92,2,2,17,12,7,19,34,51,-17,1.13,1,13,11,12,15,37,43,-6,1.18,1
Primera Division,Deportivo de La Coruña,2016,16,8,12,18,43,61,-18,0.95,2,2,18,6,11,21,38,76,-38,0.76,2,18,6,11,21,38,76,-38,0.76,2
Primera Division,Granada CF,2016,20,4,8,26,30,82,-52,0.53,2,2,20,4,8,26,30,82,-52,0.53,2,20,4,8,26,30,82,-52,0.53,1
Primera Division,Real Betis Balompié,2016,15,10,9,19,41,64,-23,1.03,2,0,6,18,6,14,60,61,-1,1.58,1,10,14,8,16,44,52,-8,1.32,1
Primera Division,Sporting Gijón,2016,18,7,10,21,42,72,-30,0.82,2,2,18,7,10,21,42,72,-30,0.82,2,18,7,10,21,42,72,-30,0.82,2
