accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,Modelo,dataset,duration,league,model
0.5277777777777778,0.5238095238095238,0.5564814814814815,0.5238095238095238,0.5325814536340852,0.6941991341991341,Ensemble,data_2,1year,bundesliga,Ensemble
0.6486486486486487,0.6604395604395604,0.6573426573426574,0.6604395604395604,0.6513712374581939,0.8700365120654975,Ensemble,data_2,1year,la_liga,Ensemble
0.6486486486486487,0.6373626373626373,0.6862611073137389,0.6373626373626373,0.6444117647058824,0.821968141895678,Ensemble,data_2,1year,la_liga,Ensemble
0.7027027027027027,0.671957671957672,0.6930555555555555,0.671957671957672,0.6735632183908047,0.8394870025304808,Ensemble,data_2,1year,la_liga,Ensemble
0.5277777777777778,0.541025641025641,0.607936507936508,0.541025641025641,0.5646332607116921,0.7777034559643257,Ensemble,data_2,1year,la_liga,Ensemble
0.6388888888888888,0.6282051282051282,0.7198879551820728,0.6282051282051282,0.6419753086419752,0.8000557413600893,Ensemble,data_2,1year,la_liga,Ensemble
0.575,0.5753968253968255,0.5887237762237761,0.5753968253968255,0.5806763285024155,0.7463369963369964,GaussianNB,data_2,1year,ligue_1_fr,GaussianNB
0.625,0.6150793650793651,0.6492063492063492,0.6150793650793651,0.6158121597096188,0.8027319902319903,GaussianNB,data_2,1year,ligue_1_fr,GaussianNB
0.65,0.6587301587301587,0.6428571428571429,0.6587301587301587,0.6483516483516484,0.8395909645909647,GaussianNB,data_2,1year,ligue_1_fr,GaussianNB
0.625,0.6226495726495727,0.6102453102453103,0.6226495726495727,0.6141025641025641,0.7917040428707095,GaussianNB,data_2,1year,ligue_1_fr,GaussianNB
0.575,0.5772005772005772,0.5832579185520362,0.5772005772005772,0.5787037037037037,0.8105304350821593,GaussianNB,data_2,1year,ligue_1_fr,GaussianNB
0.725,0.7261904761904762,0.7660818713450291,0.7261904761904762,0.7332667332667334,0.8981990231990231,GaussianNB,data_2,1year,premier_league,GaussianNB
0.8,0.8095238095238096,0.8094405594405595,0.8095238095238096,0.799294532627866,0.9179639804639804,GaussianNB,data_2,1year,premier_league,GaussianNB
0.775,0.7857142857142857,0.7725829725829726,0.7857142857142857,0.7738992042440319,0.8687423687423688,GaussianNB,data_2,1year,premier_league,GaussianNB
0.8,0.8042735042735042,0.8242721330956625,0.8042735042735042,0.8059044551798175,0.8793204449871116,GaussianNB,data_2,1year,premier_league,GaussianNB
0.65,0.655982905982906,0.634054834054834,0.655982905982906,0.6403788846317582,0.8576123999457334,GaussianNB,data_2,1year,premier_league,GaussianNB
0.625,0.623015873015873,0.6353276353276353,0.623015873015873,0.6203703703703703,0.8031135531135533,AdaBoost_DT,data_2,1year,serie_a_it,AdaBoost_DT
0.725,0.7341269841269842,0.7444444444444445,0.7341269841269842,0.7285014899957428,0.8932005494505494,AdaBoost_DT,data_2,1year,serie_a_it,AdaBoost_DT
0.625,0.626984126984127,0.625,0.626984126984127,0.6239316239316239,0.8063949938949939,AdaBoost_DT,data_2,1year,serie_a_it,AdaBoost_DT
0.65,0.6468253968253969,0.6964285714285715,0.6468253968253969,0.6589285714285714,0.8661095848595849,AdaBoost_DT,data_2,1year,serie_a_it,AdaBoost_DT
0.65,0.6572649572649573,0.666369578134284,0.6572649572649573,0.6597222222222223,0.7925986636819969,AdaBoost_DT,data_2,1year,serie_a_it,AdaBoost_DT
0.6967741935483871,0.697037037037037,0.7159420289855073,0.697037037037037,0.7041457668338653,0.8516397559555454,Ensemble,data_2,3years,all_leagues,Ensemble
0.7077922077922078,0.7095993953136809,0.7349343777915207,0.7095993953136809,0.7112379634434642,0.854851172968746,Ensemble,data_2,3years,all_leagues,Ensemble
0.7012987012987013,0.6968911260480347,0.7197624726694495,0.6968911260480347,0.7048724482762694,0.8752096251350113,Ensemble,data_2,3years,all_leagues,Ensemble
0.6883116883116883,0.6827204801443676,0.7200268112140816,0.6827204801443676,0.6918245778049453,0.8345037475722176,Ensemble,data_2,3years,all_leagues,Ensemble
0.7207792207792207,0.7186868686868687,0.7578337555117741,0.7186868686868687,0.7260631525337408,0.8599686945334915,Ensemble,data_2,3years,all_leagues,Ensemble
0.7931034482758621,0.7574277574277574,0.8083333333333332,0.7574277574277574,0.7725940951093081,0.8651616901616901,SVM,data_2,3years,bundesliga,SVM
0.6206896551724138,0.5852665852665853,0.6430555555555556,0.5852665852665853,0.5858439201451905,0.7375693750693749,SVM,data_2,3years,bundesliga,SVM
0.6551724137931034,0.5881155881155881,0.8015873015873015,0.5881155881155881,0.6056644880174292,0.8125938875938875,SVM,data_2,3years,bundesliga,SVM
0.5517241379310345,0.4884004884004884,0.6746031746031745,0.4884004884004884,0.4971677559912854,0.6826858326858326,SVM,data_2,3years,bundesliga,SVM
0.7142857142857143,0.6481481481481481,0.873015873015873,0.6481481481481481,0.682252388134741,0.8129404708352076,SVM,data_2,3years,bundesliga,SVM
0.6666666666666666,0.6611721611721612,0.6944444444444445,0.6611721611721612,0.6604406130268199,0.8583191872066553,RandomForest,data_2,3years,la_liga,RandomForest
0.6666666666666666,0.6305555555555555,0.7666666666666666,0.6305555555555555,0.6458333333333334,0.834719416386083,RandomForest,data_2,3years,la_liga,RandomForest
0.8275862068965517,0.8357142857142857,0.8311688311688311,0.8357142857142857,0.8322981366459627,0.9062225528169799,RandomForest,data_2,3years,la_liga,RandomForest
