league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Ligue 1,FC Évian Thonon Gaillard,2011,1.85,0.617,24.0,0.35,0.35,29.0,1,0.5,0.5,22.0,1,1.0,1.0,21.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,9,13,11,14,54,55,-1,1.32,2
Ligue 1,OGC Nice,2011,8.35,1.392,24.667,0.0,0.0,0.0,0,2.1,2.1,24.0,1,3.55,1.183,24.667,3,2.7,1.35,25.0,2,0.6,0.3,25.0,0.0,0.0,0.0,0,0.5,0.5,24.0,1,0.0,0.0,0.0,0,0.1,0.1,26.0,1,1,13,10,12,16,39,46,-7,1.11,1
Ligue 1,Olympique Marseille,2011,11.0,3.667,25.667,0.0,0.0,0.0,0,6.0,3.0,24.0,2,5.0,5.0,29.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,10,12,12,14,45,41,4,1.26,0
Ligue 1,Valenciennes FC,2011,4.1,1.025,22.5,0.0,0.0,0.0,0,3.1,1.55,21.5,2,1.0,0.5,23.5,2,0.0,0.0,0.0,0,4.2,2.1,23.5,0.0,0.0,0.0,0,3.2,3.2,27.0,1,1.0,1.0,20.0,1,0.0,0.0,0.0,0,1,12,12,7,19,40,50,-10,1.13,2
Ligue 1,AC Ajaccio,2011,0.2,0.2,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2,0.2,25.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,16,9,14,15,40,61,-21,1.08,2
Ligue 1,AJ Auxerre,2011,3.75,1.25,25.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.75,0.875,24.5,2,2.0,2.0,27.0,1,3.5,1.75,30.0,0.0,0.0,0.0,0,2.0,2.0,30.0,1,1.5,1.5,30.0,1,0.0,0.0,0.0,0,2,20,7,13,18,46,57,-11,0.89,2
Ligue 1,Dijon FCO,2011,5.85,0.836,24.429,0.0,0.0,0.0,0,2.0,1.0,22.0,2,0.8,0.4,23.5,2,3.05,1.017,26.667,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,19,9,9,20,38,63,-25,0.95,2
Ligue 1,FC Lorient,2011,11.1,1.85,23.0,0.0,0.0,0.0,0,2.0,2.0,24.0,1,3.5,1.75,22.5,2,5.6,1.867,23.0,3,16.0,5.333,24.333,0.0,0.0,0.0,0,2.5,2.5,27.0,1,0.0,0.0,0.0,0,13.5,6.75,23.0,2,2,17,9,12,17,35,49,-14,1.03,2
Ligue 1,SM Caen,2011,0.3,0.3,26.0,0.0,0.0,0.0,0,0.3,0.3,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.0,3.0,23.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,22.0,1,8.0,4.0,24.5,2,2,18,9,11,18,39,59,-20,1.0,1
Ligue 1,Stade Brestois 29,2011,2.5,0.625,22.75,0.0,0.0,0.0,0,1.3,0.65,20.5,2,0.7,0.7,21.0,1,0.5,0.5,29.0,1,8.0,8.0,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.0,8.0,23.0,1,2,15,8,17,13,31,38,-7,1.08,2
Ligue 1,AS Saint-Étienne,2012,4.5,2.25,23.5,0.0,0.0,0.0,0,0.5,0.5,22.0,1,0.0,0.0,0.0,0,4.0,4.0,25.0,1,4.6,2.3,22.5,0.0,0.0,0.0,0,0.8,0.8,21.0,1,0.0,0.0,0.0,0,3.8,3.8,24.0,1,0,5,16,15,7,60,32,28,1.66,0
Ligue 1,LOSC Lille,2012,22.5,3.75,20.333,0.0,0.0,0.0,0,2.5,2.5,19.0,1,12.7,6.35,21.0,2,7.3,2.433,20.333,3,41.2,20.6,24.0,0.0,0.0,0.0,0,6.2,6.2,27.0,1,0.0,0.0,0.0,0,35.0,35.0,21.0,1,0,6,16,14,8,59,40,19,1.63,0
Ligue 1,OGC Nice,2012,6.0,2.0,23.667,0.0,0.0,0.0,0,3.0,3.0,23.0,1,1.5,1.5,20.0,1,1.5,1.5,28.0,1,8.7,1.74,24.4,0.0,0.0,0.0,0,3.0,3.0,25.0,1,1.5,1.5,26.0,1,4.2,1.4,23.667,3,0,4,18,10,10,57,46,11,1.68,0
