league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Serie A,AC Siena,2011,14.33,1.102,26.077,0.0,0.0,0.0,0,4.75,0.95,27.4,5,7.98,1.33,26.0,6,1.6,0.8,23.0,2,2.425,1.212,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,2.0,23.0,1,0.425,0.425,22.0,1,1,14,11,11,16,45,45,0,1.16,2
Serie A,ACF Fiorentina,2011,19.935,1.533,24.923,0.11,0.11,23.0,1,7.11,1.778,22.5,4,9.6,2.4,27.5,4,3.115,0.779,25.25,4,20.112,2.514,25.875,9.0,9.0,31.0,1,0.0,0.0,0.0,0,1.111,0.556,28.5,2,10.001,2.0,23.8,5,1,13,11,13,14,37,43,-6,1.21,1
Serie A,AS Roma,2011,91.25,6.518,22.429,7.33,7.33,28.0,1,7.5,3.75,21.5,2,11.78,2.945,23.0,4,64.64,9.234,21.571,7,26.13,6.532,27.5,0.0,0.0,0.0,0,2.63,2.63,30.0,1,0.0,0.0,0.0,0,23.5,7.833,26.667,3,1,7,16,8,14,60,54,6,1.47,0
Serie A,Atalanta BC,2011,15.0,2.5,25.5,0.0,0.0,0.0,0,7.7,3.85,27.5,2,5.8,2.9,25.0,2,1.5,0.75,24.0,2,11.65,2.33,27.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.8,3.6,26.333,3,0.85,0.425,30.0,2,1,12,13,13,12,41,43,-2,1.21,0
Serie A,Bologna FC 1909,2011,20.783,1.484,23.929,2.523,0.841,26.0,3,4.95,0.99,23.4,5,9.66,3.22,25.0,3,3.65,1.217,21.667,3,20.8,3.467,22.667,4.1,4.1,25.0,1,10.5,5.25,23.0,2,4.7,2.35,22.0,2,1.5,1.5,21.0,1,1,9,13,12,13,41,43,-2,1.34,2
Serie A,Catania SSD,2011,4.14,1.035,25.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.24,0.62,26.0,2,2.9,1.45,25.5,2,13.378,1.911,26.143,0.078,0.078,28.0,1,8.0,8.0,26.0,1,1.0,0.5,24.0,2,4.3,1.433,27.0,3,1,11,11,15,12,47,52,-5,1.26,2
Serie A,Chievo Verona,2011,11.45,1.041,24.182,0.4,0.4,30.0,1,3.8,1.267,22.0,3,6.7,1.34,24.4,5,0.55,0.275,24.0,2,13.09,1.454,24.0,0.0,0.0,0.0,0,4.19,1.048,23.0,4,7.2,3.6,24.5,2,1.7,0.567,25.0,3,1,10,12,13,13,35,45,-10,1.29,1
Serie A,Parma Calcio 1913,2011,11.21,1.019,24.273,0.0,0.0,0.0,0,1.25,0.312,23.25,4,1.5,1.5,30.0,1,8.46,1.41,24.0,6,31.0,2.214,25.143,0.0,0.0,0.0,0,7.55,0.944,27.5,8,12.0,4.0,22.333,3,11.45,3.817,21.667,3,1,8,15,11,12,54,53,1,1.47,2
Serie A,AC Cesena,2011,10.47,1.309,23.875,0.15,0.15,21.0,1,4.0,4.0,23.0,1,0.82,0.273,25.0,3,5.5,1.833,24.0,3,12.25,4.083,25.0,0.0,0.0,0.0,0,4.5,4.5,24.0,1,7.25,7.25,26.0,1,0.5,0.5,25.0,1,2,20,4,10,24,24,60,-36,0.58,2
Serie A,Cagliari Calcio,2011,8.2,0.911,23.0,0.0,0.0,0.0,0,0.1,0.1,25.0,1,3.85,1.283,22.667,3,4.25,0.85,22.8,5,25.7,6.425,27.0,5.2,5.2,28.0,1,0.0,0.0,0.0,0,5.0,2.5,27.0,2,15.5,15.5,26.0,1,2,15,10,13,15,37,46,-9,1.13,1
Serie A,Genoa CFC,2011,52.93,3.529,25.067,9.0,9.0,31.0,1,9.65,1.93,25.0,5,17.48,3.496,23.2,5,16.8,4.2,26.0,4,81.95,3.035,22.852,3.5,3.5,29.0,1,28.0,3.111,23.444,9,16.73,4.182,23.75,4,33.72,2.594,21.692,13,2,17,11,9,18,50,69,-19,1.11,2
Serie A,Novara Calcio 1908,2011,5.65,0.706,27.5,0.15,0.15,28.0,1,0.3,0.3,33.0,1,1.75,0.875,26.0,2,3.45,0.862,26.75,4,2.14,0.428,25.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9,0.3,25.0,3,1.24,0.62,27.0,2,2,19,7,11,20,35,65,-30,0.84,2
Serie A,US Lecce,2011,1.4,0.7,25.0,0.0,0.0,0.0,0,0.35,0.35,23.0,1,0.0,0.0,0.0,0,1.05,1.05,27.0,1,6.97,0.996,28.857,2.9,2.9,28.0,1,0.77,0.385,28.0,2,2.3,1.15,29.5,2,1.0,0.5,29.5,2,2,18,8,12,18,40,56,-16,0.95,2
Serie A,US Palermo,2011,46.03,2.708,24.294,9.2,4.6,27.5,2,17.37,2.171,23.875,8,14.98,2.996,24.8,5,4.48,2.24,21.5,2,69.65,3.666,25.579,3.9,3.9,24.0,1,7.15,0.894,27.0,8,45.2,7.533,24.167,6,13.4,3.35,25.25,4,2,16,11,10,17,52,62,-10,1.13,2
Serie A,AC Milan,2012,59.62,5.42,23.727,1.17,1.17,19.0,1,10.9,2.725,25.25,4,11.5,5.75,26.0,2,36.05,9.012,22.25,4,88.5,12.643,26.429,0.0,0.0,0.0,0,46.5,15.5,26.0,3,0.5,0.5,24.0,1,41.5,13.833,27.667,3,0,3,21,9,8,67,39,28,1.89,0
Serie A,ACF Fiorentina,2012,40.77,2.548,25.625,0.5,0.5,26.0,1,11.15,1.858,25.5,6,18.32,2.617,25.571,7,10.8,5.4,26.0,2,33.4,4.771,25.857,0.0,0.0,0.0,0,17.35,5.783,24.333,3,9.3,3.1,27.667,3,6.75,6.75,25.0,1,0,4,21,7,10,72,44,28,1.84,1
Serie A,AS Roma,2012,43.82,2.578,22.0,0.35,0.175,21.0,2,19.3,2.412,22.875,8,10.45,2.612,22.0,4,13.72,4.573,20.333,3,21.56,1.658,21.308,0.0,0.0,0.0,0,0.2,0.2,20.0,1,3.55,1.183,21.667,3,17.81,1.979,21.333,9,0,6,18,8,12,71,56,15,1.63,0
Serie A,Juventus FC,2012,72.8,8.089,22.444,3.8,3.8,19.0,1,25.0,6.25,24.0,4,18.0,18.0,23.0,1,26.0,8.667,21.333,3,23.3,2.33,24.8,0.0,0.0,0.0,0,0.65,0.325,25.0,2,6.15,1.23,24.8,5,16.5,5.5,24.667,3,0,1,27,6,5,71,24,47,2.29,0
Serie A,SSC Napoli,2012,31.05,2.823,25.455,0.0,0.0,0.0,0,8.25,1.65,26.8,5,13.4,4.467,22.333,3,9.4,3.133,26.333,3,34.85,4.979,25.857,0.0,0.0,0.0,0,1.1,0.55,24.0,2,1.25,1.25,28.0,1,32.5,8.125,26.25,4,0,2,23,9,6,73,36,37,2.05,0
Serie A,Udinese Calcio,2012,27.4,3.044,23.556,0.5,0.5,19.0,1,14.1,4.7,21.333,3,5.5,1.833,25.0,3,7.3,3.65,27.0,2,60.95,6.772,25.667,15.0,15.0,27.0,1,15.9,5.3,24.667,3,21.5,7.167,24.333,3,8.55,4.275,28.5,2,0,5,18,12,8,59,45,14,1.74,1
Serie A,Bologna FC 1909,2012,10.285,1.143,24.0,0.0,0.0,0.0,0,1.605,0.535,21.667,3,4.13,1.032,24.25,4,4.55,2.275,27.0,2,17.95,5.983,28.0,2.0,2.0,33.0,1,0.0,0.0,0.0,0,15.95,7.975,25.5,2,0.0,0.0,0.0,0,1,13,11,11,16,46,52,-6,1.16,2
Serie A,Cagliari Calcio,2012,11.6,1.657,25.429,0.0,0.0,0.0,0,1.8,0.9,25.0,2,3.1,1.55,24.0,2,5.2,2.6,27.0,2,2.7,1.35,26.5,0.0,0.0,0.0,0,2.5,2.5,27.0,1,0.0,0.0,0.0,0,0.2,0.2,26.0,1,1,11,12,11,15,43,55,-12,1.24,2
