league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Primera Division,Real Sociedad,2011,1.5,1.5,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.5,1.5,24.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,12,12,11,15,46,52,-6,1.24,0
Primera Division,Sevilla FC,2011,19.0,2.714,25.571,0.0,0.0,0.0,0,6.8,2.267,26.0,3,1.2,1.2,22.0,1,11.0,3.667,26.333,3,15.7,2.243,24.429,0.0,0.0,0.0,0,5.1,1.7,24.333,3,5.0,5.0,30.0,1,5.6,1.867,22.667,3,1,9,13,11,14,48,47,1,1.32,0
Primera Division,Granada CF,2011,12.19,1.354,23.222,0.0,0.0,0.0,0,9.5,3.167,24.333,3,1.2,0.6,23.0,2,1.49,0.372,22.5,4,0.15,0.15,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.15,0.15,22.0,1,2,17,12,6,20,35,56,-21,1.11,2
Primera Division,Racing Santander,2011,0.35,0.35,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.35,0.35,18.0,1,2.1,1.05,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2,0.2,26.0,1,1.9,1.9,24.0,1,2,20,4,15,19,28,63,-35,0.71,2
Primera Division,Rayo Vallecano,2011,0.34,0.34,21.0,0.0,0.0,0.0,0,0.34,0.34,21.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.8,1.8,24.0,0.0,0.0,0.0,0,1.8,1.8,24.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,15,13,4,21,53,73,-20,1.13,2
Primera Division,Real Zaragoza,2011,11.5,2.3,25.6,8.6,8.6,25.0,1,0.2,0.2,24.0,1,1.4,0.7,25.0,2,1.3,1.3,29.0,1,15.8,3.95,26.5,0.0,0.0,0.0,0,0.3,0.3,31.0,1,10.5,5.25,24.0,2,5.0,5.0,27.0,1,2,16,12,7,19,36,61,-25,1.13,2
Primera Division,Sporting Gijón,2011,1.5,0.75,23.0,0.0,0.0,0.0,0,0.5,0.5,23.0,1,1.0,1.0,23.0,1,0.0,0.0,0.0,0,4.5,4.5,21.0,0.0,0.0,0.0,0,4.5,4.5,21.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,19,10,7,21,42,69,-27,0.97,2
Primera Division,Villarreal CF,2011,31.3,5.217,25.0,0.0,0.0,0.0,0,10.0,5.0,22.0,2,14.0,7.0,24.5,2,7.3,3.65,28.5,2,26.85,6.712,23.25,0.0,0.0,0.0,0,1.0,1.0,24.0,1,24.35,12.175,24.0,2,1.5,1.5,21.0,1,2,18,9,14,15,39,53,-14,1.08,0
Primera Division,FC Barcelona,2012,33.0,16.5,23.5,0.0,0.0,0.0,0,14.0,14.0,23.0,1,19.0,19.0,24.0,1,0.0,0.0,0.0,0,0.5,0.5,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.5,26.0,1,0.0,0.0,0.0,0,0,1,32,4,2,115,40,75,2.63,0
Primera Division,Málaga CF,2012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,41.6,6.933,25.333,0.0,0.0,0.0,0,10.0,10.0,26.0,1,22.6,5.65,26.0,4,9.0,9.0,22.0,1,0,6,16,9,13,53,50,3,1.5,2
